"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Reinhard Kofler","AUT","Motorrace","Motorrace-Men",37,1984,"2007",2007,NA,NA,NA,23,23,"male",0
"Renato Travaglia","ITA","Motorrace","Motorrace-Men",56,1965,"2006",2011,"3",2007,42,41,46,"male",5
"Ricardo Maurício","BRA","Motorrace","Motorrace-Men",43,1979,"1999",2013,"8",2001,22,20,34,"male",14
"Ricardo Sperafico","BRA","Motorrace","Motorrace-Men",42,1979,"2001",2015,"2",2003,24,22,36,"male",14
"Ricardo Zonta","BRA","Motorrace","Motorrace-Men",46,1976,"1999",2012,"14",2000,24,23,36,"male",13
"Riccardo Patrese","ITA","Motorrace","Motorrace-Men",68,1954,"1977",2018,"2",1992,38,23,64,"male",41
"Richard Antinucci","USA","Motorrace","Motorrace-Men",41,1981,"2002",2017,NA,NA,NA,21,36,"male",15
"Richard Burns","GBR","Motorrace","Motorrace-Men",34,1971,"1991",2003,"1",2001,30,20,32,"male",12
"Richard Lyons","GBR","Motorrace","Motorrace-Men",42,1979,"2015",2019,NA,NA,NA,36,40,"male",4
"Richie Stanaway","NZL","Motorrace","Motorrace-Men",30,1991,"2013",2019,"14",2017,26,22,28,"male",6
"Rickard Rydell","SWE","Motorrace","Motorrace-Men",54,1967,"2005",2015,"5",2008,41,38,48,"male",10
"Rinaldo Capello","ITA","Motorrace","Motorrace-Men",57,1964,"2012",2012,"5",2012,48,48,48,"male",0
"Rio Haryanto","IDN","Motorrace","Motorrace-Men",29,1993,"2016",2016,"24",2016,23,23,23,"male",0
"Rob Barff","GBR","Motorrace","Motorrace-Men",47,1974,"2002",2014,"24",2003,29,28,40,"male",12
"Rob Dyson","USA","Motorrace","Motorrace-Men",NA,NA,"2000",2000,NA,NA,NA,NA,NA,"male",0
"Robert Doornbos","NLD","Motorrace","Motorrace-Men",40,1981,"2005",2009,"24",2006,25,24,28,"male",4
"Robert Vișoiu","ROU","Motorrace","Motorrace-Men",26,1996,"2017",2017,"24",2017,21,21,21,"male",0
"Roberto Moreno","BRA","Motorrace","Motorrace-Men",63,1959,"1987",2007,"10",1990,31,28,48,"male",20
"Roberto Streit","BRA","Motorrace","Motorrace-Men",38,1983,"2009",2009,"7",2009,26,26,26,"male",0
"Rodrigo Sperafico","BRA","Motorrace","Motorrace-Men",42,1979,"2001",2002,"6",2002,23,22,23,"male",1
"Ryan Hampton","USA","Motorrace","Motorrace-Men",NA,NA,"2000",2004,NA,NA,NA,NA,NA,"male",4
"Ryan Sharp","GBR","Motorrace","Motorrace-Men",43,1979,"2007",2009,"2",2007,28,28,30,"male",2
"Salvador Durán","MEX","Motorrace","Motorrace-Men",37,1985,"2014",2016,"21",2014,29,29,31,"male",2
"Salvatore Ronca","ITA","Motorrace","Motorrace-Men",NA,NA,"1999",2000,NA,NA,NA,NA,NA,"male",1
"Salvatore Tavano","ITA","Motorrace","Motorrace-Men",42,1980,"2005",2007,"18",2006,26,25,27,"male",2
"Sarel van der Merwe","ZAF","Motorrace","Motorrace-Men",75,1946,"2000",2000,NA,NA,NA,54,54,"male",0
"Sascha Bert","DEU","Motorrace","Motorrace-Men",47,1975,"2006",2006,"6",2006,31,31,31,"male",0
"Sascha Maassen","DEU","Motorrace","Motorrace-Men",NA,1969,NA,2013,NA,NA,NA,NA,44,"male",NA
"Scott Sharp","USA","Motorrace","Motorrace-Men",54,1968,"2014",2018,"19",2015,47,46,50,"male",4
"Sébastien Philippe","FRA","Motorrace","Motorrace-Men",47,1975,"2000",2009,NA,NA,NA,25,34,"male",9
"Sergio Hernández","ESP","Motorrace","Motorrace-Men",38,1983,"2007",2010,"11",2009,26,24,27,"male",3
"Simo Laaksonen","FIN","Motorrace","Motorrace-Men",23,1998,"2019",2019,"23",2019,21,21,21,"male",0
"Simon Dolan","GBR","Motorrace","Motorrace-Men",53,1969,"2012",2016,"40",2016,47,43,47,"male",4
"Simon Harrison","GBR","Motorrace","Motorrace-Men",52,1969,"2005",2005,"14",2005,36,36,36,"male",0
"Soheil Ayari","FRA","Motorrace","Motorrace-Men",52,1970,"2012",2014,"18",2012,42,42,44,"male",2
"Stanley Dickens","SWE","Motorrace","Motorrace-Men",70,1952,"2000",2002,NA,NA,NA,48,50,"male",2
"Stefan Johansson","SWE","Motorrace","Motorrace-Men",65,1956,"2012",2014,"76",2012,56,56,58,"male",2
"Stefan Mücke","DEU","Motorrace","Motorrace-Men",40,1981,"2012",2019,"35",2012,31,31,38,"male",7
