"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Mariana Kautz","GER","Iceskating","Iceskating-Women",41,1980,"2002",2002,"0",2002,22,22,22,"female",0
"Yuko Kavaguti","RUS","Iceskating","Iceskating-Women",NA,NA,"2010",2010,"0",NA,NA,NA,NA,"female",0
"Aya Kawai","JPN","Iceskating","Iceskating-Women",47,1975,"1998",1998,"0",1998,23,23,23,"female",0
"Oksana Kazakova","RUS","Iceskating","Iceskating-Women",47,1975,"1998",1998,"1",1998,23,23,23,"female",0
"Stacey Kemp","GBR","Iceskating","Iceskating-Women",33,1988,"2010",2014,"0",2012,24,22,26,"female",4
"Sinead Kerr","GBR","Iceskating","Iceskating-Women",43,1978,"2006",2010,"0",2008,30,28,32,"female",4
"Nancy Kerrigan","USA","Iceskating","Iceskating-Women",52,1969,"1992",1994,"2",1993,24,23,25,"female",2
"Elina Kettunen","FIN","Iceskating","Iceskating-Women",41,1981,"2002",2002,"0",2002,21,21,21,"female",0
"Marina Khalturina","KAZ","Iceskating","Iceskating-Women",47,1974,"1998",1998,"0",1998,24,24,24,"female",0
"Yana Khokhlova","RUS","Iceskating","Iceskating-Women",36,1985,"2006",2010,"0",2008,23,21,25,"female",4
"Marina Kielmann","GER FRG","Iceskating","Iceskating-Women",54,1968,"1988",1992,"0",1990,22,20,24,"female",4
"Kim Yong-Suk","PRK","Iceskating","Iceskating-Women",42,1979,"2006",2006,"0",2006,27,27,27,"female",0
"Yu-Na Kim","KOR","Iceskating","Iceskating-Women",NA,NA,"2010",2014,"2",NA,NA,NA,NA,"female",4
NA,NA,"Iceskating","Iceskating-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Ko Ok-Ran","PRK","Iceskating","Iceskating-Women",47,1975,"1992",1992,"0",1992,17,17,17,"female",0
"Mojca Kopač","SLO","Iceskating","Iceskating-Women",47,1975,"1992",2002,"0",1997,22,17,27,"female",10
"Kiira Korpi","FIN","Iceskating","Iceskating-Women",33,1988,"2006",2010,"0",2008,20,18,22,"female",4
"Kateryna Kostenko","UKR","Iceskating","Iceskating-Women",37,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Carolina Kostner","ITA","Iceskating","Iceskating-Women",35,1987,"2006",2018,"1",NA,NA,19,31,"female",12
"Kateřina Kovalová","CZE","Iceskating","Iceskating-Women",43,1978,"2002",2002,"0",2002,24,24,24,"female",0
"Radka Kovaříková","CZE TCH","Iceskating","Iceskating-Women",47,1975,"1992",1994,"0",1993,18,17,19,"female",2
"Maria Krasiltseva","ARM","Iceskating","Iceskating-Women",40,1981,"1998",2002,"0",2000,19,17,21,"female",4
"Nathalie Krieg","SUI","Iceskating","Iceskating-Women",44,1977,"1994",1994,"0",1994,17,17,17,"female",0
"Anzhelika Krylova","RUS","Iceskating","Iceskating-Women",48,1973,"1994",1998,"1",1996,23,21,25,"female",4
"Natasha Kuchiki","USA","Iceskating","Iceskating-Women",45,1976,"1992",1992,"0",1992,16,16,16,"female",0
"Lenka Kulovaná","CZE TCH","Iceskating","Iceskating-Women",47,1974,"1992",1998,"0",1995,20,18,24,"female",6
"Michelle Kwan","USA","Iceskating","Iceskating-Women",41,1980,"1998",2002,"2",2000,20,18,22,"female",4
"Sonia Lafuente","ESP","Iceskating","Iceskating-Women",30,1991,"2010",2010,"0",2010,19,19,19,"female",0
"Naomi Lang","USA","Iceskating","Iceskating-Women",43,1978,"2002",2002,"0",2002,24,24,24,"female",0
"Anabelle Langlois","CAN","Iceskating","Iceskating-Women",40,1981,"2002",2010,"0",2006,25,21,29,"female",8
"Jacinthe Larivière","CAN","Iceskating","Iceskating-Women",40,1981,"2002",2002,"0",2002,21,21,21,"female",0
"Julia Lautowa","AUT","Iceskating","Iceskating-Women",40,1981,"1998",1998,"0",1998,17,17,17,"female",0
"Yuliya Lavrenchuk","UKR","Iceskating","Iceskating-Women",44,1978,"1998",1998,"0",1998,20,20,20,"female",0
"Yulia Lebedeva","ARM","Iceskating","Iceskating-Women",NA,NA,"2002",2002,"0",NA,NA,NA,NA,"female",0
"Cheltzie Lee","AUS","Iceskating","Iceskating-Women",29,1993,"2010",2010,"0",2010,17,17,17,"female",0
"Lee Eun-Hee","KOR","Iceskating","Iceskating-Women",46,1975,"1992",1992,"0",1992,17,17,17,"female",0
"Lily Lee","KOR","Iceskating","Iceskating-Women",52,1969,"1994",1994,"0",1994,25,25,25,"female",0
"Chantal Lefebvre","CAN","Iceskating","Iceskating-Women",44,1977,"1998",1998,"0",1998,21,21,21,"female",0
"Sabrina Lefrançois","FRA","Iceskating","Iceskating-Women",41,1980,"1998",1998,"0",1998,18,18,18,"female",0
"Alyona Leonova","RUS","Iceskating","Iceskating-Women",31,1990,"2010",2010,"0",2010,20,20,20,"female",0
"Alma Lepina","LAT","Iceskating","Iceskating-Women",47,1974,"1992",1992,"0",1992,18,18,18,"female",0
"Laura Lepistö","FIN","Iceskating","Iceskating-Women",34,1988,"2010",2010,"0",2010,22,22,22,"female",0
"Marie-Pierre Leray","FRA","Iceskating","Iceskating-Women",47,1975,"1994",1994,"0",1994,19,19,19,"female",0
"Mira Leung","CAN","Iceskating","Iceskating-Women",33,1989,"2006",2006,"0",2006,17,17,17,"female",0
"Li Gyong-Ok","PRK","Iceskating","Iceskating-Women",46,1975,"1992",1992,"0",1992,17,17,17,"female",0
"Olena Liashenko","UKR","Iceskating","Iceskating-Women",45,1976,"1994",2006,"0",2000,24,18,30,"female",12
"Tara Lipinski","USA","Iceskating","Iceskating-Women",39,1982,"1998",1998,"1",1998,16,16,16,"female",0
"Liu Yan","CHN","Iceskating","Iceskating-Women",NA,NA,"2006",2010,"0",NA,NA,NA,NA,"female",4
"Liu Ying","CHN","Iceskating","Iceskating-Women",46,1975,"1994",1994,"0",1994,19,19,19,"female",0
"Irina Lobacheva","RUS","Iceskating","Iceskating-Women",49,1973,"1998",2002,"1",2000,27,25,29,"female",4
"Roxana Luca","ROU","Iceskating","Iceskating-Women",39,1982,"2002",2006,"0",2004,22,20,24,"female",4
"Kseniya Makarova","RUS","Iceskating","Iceskating-Women",29,1992,"2010",2010,"0",2010,18,18,18,"female",0
"Tatyana Malinina","UZB","Iceskating","Iceskating-Women",49,1973,"1998",2002,"0",2000,27,25,29,"female",4
"Halyna Maniachenko-Yefremenko","UKR","Iceskating","Iceskating-Women",41,1980,"2002",2006,"0",2004,24,22,26,"female",4
"Valérie Marcoux","CAN","Iceskating","Iceskating-Women",42,1980,"2006",2006,"0",2006,26,26,26,"female",0
"Fleur Maxwell","LUX","Iceskating","Iceskating-Women",33,1988,"2006",2006,"0",2006,18,18,18,"female",0
"Rachel Mayer","USA","Iceskating","Iceskating-Women",48,1973,"1992",1992,"0",1992,19,19,19,"female",0
"Jenna McCorkell","GBR","Iceskating","Iceskating-Women",35,1986,"2010",2014,"0",2012,26,24,28,"female",4
"Sarah Meier","SUI","Iceskating","Iceskating-Women",38,1984,"2002",2010,"0",2006,22,18,26,"female",8
"Kimmie Meissner","USA","Iceskating","Iceskating-Women",32,1989,"2006",2006,"0",2006,17,17,17,"female",0
"Jenni Meno","USA","Iceskating","Iceskating-Women",51,1970,"1992",1998,"0",1995,24,22,28,"female",6
"Nataliya Mishkutyonok","RUS EUN","Iceskating","Iceskating-Women",51,1970,"1992",1994,"2",1993,23,22,24,"female",2
"Sophie Moniotte","FRA","Iceskating","Iceskating-Women",53,1969,"1992",1998,"0",1995,25,23,29,"female",6
"Anaïs Morand","SUI","Iceskating","Iceskating-Women",29,1993,"2010",2010,"0",2010,17,17,17,"female",0
"Kateřina Mrázová","CZE TCH","Iceskating","Iceskating-Women",49,1972,"1992",1998,"0",1995,22,20,26,"female",6
"Mariya Mukhortova","RUS","Iceskating","Iceskating-Women",36,1985,"2010",2010,"0",2010,25,25,25,"female",0
"Mirai Nagasu","USA","Iceskating","Iceskating-Women",29,1993,"2010",2018,"1",2014,21,17,25,"female",8
"Bérangère Nau","FRA","Iceskating","Iceskating-Women",45,1976,"1994",1994,"0",1994,18,18,18,"female",0
"Mayda Navarro","MEX","Iceskating","Iceskating-Women",46,1975,"1992",1992,"0",1992,17,17,17,"female",0
"Tatyana Navka","BLR RUS","Iceskating","Iceskating-Women",NA,NA,"1994",2006,"1",NA,NA,NA,NA,"female",12
"Patricia Neske","GER","Iceskating","Iceskating-Women",55,1966,"1992",1992,"0",1992,26,26,26,"female",0
"Sylwia Nowak","POL","Iceskating","Iceskating-Women",46,1976,"1998",2002,"0",2000,24,22,26,"female",4
"Dinara Nurdbayeva","UZB","Iceskating","Iceskating-Women",45,1976,"1994",1994,"0",1994,18,18,18,"female",0
"Yuliya Obertas","RUS","Iceskating","Iceskating-Women",37,1984,"2006",2006,"0",2006,22,22,22,"female",0
"Yoshie Onda","JPN","Iceskating","Iceskating-Women",39,1982,"2002",2002,"0",2002,20,20,20,"female",0
"Suzanne Otterson","GBR","Iceskating","Iceskating-Women",48,1974,"1992",1992,"0",1992,18,18,18,"female",0
"Pang Qing","CHN","Iceskating","Iceskating-Women",NA,NA,"2002",2014,"1",NA,NA,NA,NA,"female",12
"Park Bit-Na","KOR","Iceskating","Iceskating-Women",36,1985,"2002",2002,"0",2002,17,17,17,"female",0
"Viktória Pavuk","HUN","Iceskating","Iceskating-Women",36,1985,"2006",2006,"0",2006,21,21,21,"female",0
"Nathalie Péchalat","FRA","Iceskating","Iceskating-Women",38,1983,"2006",2014,"0",2010,27,23,31,"female",8
"Sofiya Penkova","BUL","Iceskating","Iceskating-Women",43,1979,"1998",1998,"0",1998,19,19,19,"female",0
"Hélène Persson","SWE","Iceskating","Iceskating-Women",55,1966,"1992",1992,"0",1992,26,26,26,"female",0
"Jacqueline Petr","CAN","Iceskating","Iceskating-Women",51,1970,"1992",1992,"0",1992,22,22,22,"female",0
NA,NA,"Iceskating","Iceskating-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Mariya Petrova","RUS","Iceskating","Iceskating-Women",44,1977,"2002",2006,"0",2004,27,25,29,"female",4
"Cynthia Phaneuf","CAN","Iceskating","Iceskating-Women",34,1988,"2010",2010,"0",2010,22,22,22,"female",0
"Phyo Yong-Myong","PRK","Iceskating","Iceskating-Women",NA,NA,"2002",2006,NA,NA,NA,NA,NA,"female",4
"Isabelle Pieman","BEL","Iceskating","Iceskating-Women",38,1983,"2010",2010,"0",2010,27,27,27,"female",0
"Marylin Pla","FRA","Iceskating","Iceskating-Women",38,1984,"2006",2006,"0",2006,22,22,22,"female",0
NA,NA,"Iceskating","Iceskating-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Nataliya Ponomaryova","UZB","Iceskating","Iceskating-Women",39,1982,"2002",2002,"0",2002,20,20,20,"female",0
"Teodora Poštič","SLO","Iceskating","Iceskating-Women",37,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Susanna Pöykiö","FIN","Iceskating","Iceskating-Women",40,1982,"2006",2006,"0",2006,24,24,24,"female",0
"Karen Preston","CAN","Iceskating","Iceskating-Women",50,1971,"1992",1992,"0",1992,21,21,21,"female",0
"Kathryn Pritchard","GBR","Iceskating","Iceskating-Women",49,1972,"1992",1992,"0",1992,20,20,20,"female",0
"Elizabeth Punsalan","USA","Iceskating","Iceskating-Women",51,1971,"1994",1998,"0",1996,25,23,27,"female",4
"Tatyana Rachkova","RUS EUN","Iceskating","Iceskating-Women",49,1973,"1992",1992,"0",1992,19,19,19,"female",0
"Susanna Rahkamo","FIN","Iceskating","Iceskating-Women",57,1965,"1992",1994,"0",1993,28,27,29,"female",2
"Anna Rechnio","POL","Iceskating","Iceskating-Women",44,1977,"1994",1998,"0",1996,19,17,21,"female",4
"Allison Reed","GEO","Iceskating","Iceskating-Women",27,1994,"2010",2010,"0",2010,16,16,16,"female",0
"Cathy Reed","JPN","Iceskating","Iceskating-Women",34,1987,"2010",2014,"0",2012,25,23,27,"female",4
"Ivana Reitmayerová","SVK","Iceskating","Iceskating-Women",30,1992,"2010",2010,"0",2010,18,18,18,"female",0
"Diana Rennik","EST","Iceskating","Iceskating-Women",37,1985,"2006",2006,"0",2006,21,21,21,"female",0
"Jennifer Robinson","CAN","Iceskating","Iceskating-Women",45,1976,"2002",2002,"0",2002,26,26,26,"female",0
"Joannie Rochette","CAN","Iceskating","Iceskating-Women",36,1986,"2006",2010,"1",2008,22,20,24,"female",4
"Inga Rodionova","AZE","Iceskating","Iceskating-Women",42,1980,"1998",1998,"0",1998,18,18,18,"female",0
"Iryna Romanova","UKR","Iceskating","Iceskating-Women",50,1972,"1994",1998,"0",1996,24,22,26,"female",4
"Alena Ryhorauna","BLR","Iceskating","Iceskating-Women",NA,NA,"1994",1994,"0",NA,NA,NA,NA,"female",0
"Ryu Gwang-Ho","PRK","Iceskating","Iceskating-Women",51,1970,"1992",1992,"0",1992,22,22,22,"female",0
"Jamie Salé","CAN","Iceskating","Iceskating-Women",45,1977,"1994",2002,"1",1998,21,17,25,"female",8
"Emily Samuelson","USA","Iceskating","Iceskating-Women",32,1990,"2010",2010,"0",2010,20,20,20,"female",0
NA,NA,"Iceskating","Iceskating-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Kristy-Lee Sargeant","CAN","Iceskating","Iceskating-Women",48,1974,"1994",1998,"0",1996,22,20,24,"female",4
"April Sargent-Thomas","USA","Iceskating","Iceskating-Women",54,1968,"1992",1992,"0",1992,24,24,24,"female",0
"Yuka Sato","JPN","Iceskating","Iceskating-Women",49,1973,"1992",1994,"0",1993,20,19,21,"female",2
"Marie-Claude Savard-Gagnon","CAN","Iceskating","Iceskating-Women",49,1972,"1998",1998,"0",1998,26,26,26,"female",0
"Aljona Sawtchenko","GER UKR","Iceskating","Iceskating-Women",38,1984,"2002",2018,"3",2010,26,18,34,"female",16
"Peggy Schwarz","GDR GER","Iceskating","Iceskating-Women",50,1971,"1988",1998,"0",1993,22,17,27,"female",10
"Tiffany Scott","USA","Iceskating","Iceskating-Women",45,1977,"2002",2002,"0",2002,25,25,25,"female",0
"Júlia Sebestyén","HUN","Iceskating","Iceskating-Women",41,1981,"1998",2010,"0",2004,23,17,29,"female",12
"Aliki Sergaadu","UZB","Iceskating","Iceskating-Women",49,1972,"1994",1994,"0",1994,22,22,22,"female",0
"Maria Sergejeva","EST","Iceskating","Iceskating-Women",29,1992,"2010",2010,"0",2010,18,18,18,"female",0
"Shen Xue","CHN","Iceskating","Iceskating-Women",NA,NA,"1998",2010,"3",NA,NA,NA,NA,"female",12
"Yevgeniya Shishkova","RUS EUN","Iceskating","Iceskating-Women",49,1972,"1992",1994,"0",1993,21,20,22,"female",2
"Jamie Silverstein","USA","Iceskating","Iceskating-Women",38,1983,"2006",2006,"0",2006,23,23,23,"female",0
"Irina Slutskaya","RUS","Iceskating","Iceskating-Women",43,1979,"1998",2006,"2",2002,23,19,27,"female",8
"Kseniya Smetanenko","ARM","Iceskating","Iceskating-Women",NA,NA,"1998",1998,"0",NA,NA,NA,NA,"female",0
"Jacqueline Soames","GBR","Iceskating","Iceskating-Women",53,1968,"1994",1994,"0",1994,26,26,26,"female",0
"Yelena Sokolova","RUS","Iceskating","Iceskating-Women",42,1980,"1998",2006,"0",2002,22,18,26,"female",8
"Yuliya Soldatova","BLR","Iceskating","Iceskating-Women",NA,NA,"2002",2002,"0",NA,NA,NA,NA,"female",0
"Rumyana Spasova","BUL","Iceskating","Iceskating-Women",33,1989,"2006",2006,"0",2006,17,17,17,"female",0
"Yelizaveta Stekolnikova","KAZ","Iceskating","Iceskating-Women",48,1974,"1994",1998,"0",1996,22,20,24,"female",4
"Irina Štork","EST","Iceskating","Iceskating-Women",29,1993,"2010",2010,"0",2010,17,17,17,"female",0
"Fumie Suguri","JPN","Iceskating","Iceskating-Women",41,1980,"2002",2006,"0",2004,24,22,26,"female",4
"Joanna Sulej","POL","Iceskating","Iceskating-Women",32,1989,"2010",2010,"0",2010,21,21,21,"female",0
"Akiko Suzuki","JPN","Iceskating","Iceskating-Women",37,1985,"2010",2014,"0",2012,27,25,29,"female",4
"Tanja Szewczenko","GER","Iceskating","Iceskating-Women",44,1977,"1994",1994,"0",1994,17,17,17,"female",0
"Zuzanna Szwed","POL","Iceskating","Iceskating-Women",44,1977,"1992",1992,"0",1992,15,15,15,"female",0
"Anna Tabacchi","ITA","Iceskating","Iceskating-Women",45,1976,"1992",1992,"0",1992,16,16,16,"female",0
"Anisette Torp-Lind","DEN","Iceskating","Iceskating-Women",51,1971,"1992",1992,"0",1992,21,21,21,"female",0
"Jayne Torvill","GBR","Iceskating","Iceskating-Women",64,1957,"1980",1994,"2",1986,29,23,37,"female",14
"Tatyana Totmyanina","RUS","Iceskating","Iceskating-Women",40,1981,"2002",2006,"1",2004,23,21,25,"female",4
"Calla Urbanski","USA","Iceskating","Iceskating-Women",61,1960,"1992",1992,"0",1992,32,32,32,"female",0
"Maiya Usova","RUS EUN","Iceskating","Iceskating-Women",58,1964,"1992",1994,"2",1993,29,28,30,"female",2
"Olga Vassiljeva","EST","Iceskating","Iceskating-Women",44,1977,"1992",1992,"0",1992,15,15,15,"female",0
"Tessa Virtue","CAN","Iceskating","Iceskating-Women",33,1989,"2010",2018,"5",NA,NA,21,29,"female",8
"Viktoriya Volchkova","RUS","Iceskating","Iceskating-Women",39,1982,"2002",2002,"0",2002,20,20,20,"female",0
"Tatyana Volosozhar","RUS UKR","Iceskating","Iceskating-Women",NA,NA,"2006",2014,"2",NA,NA,NA,NA,"female",8
"Charlene von Saher","GBR","Iceskating","Iceskating-Women",47,1974,"1994",1994,"0",1994,20,20,20,"female",0
"Nozomi Watanabe","JPN","Iceskating","Iceskating-Women",51,1971,"2006",2006,"0",2006,35,35,35,"female",0
"Megan Wing","CAN","Iceskating","Iceskating-Women",46,1975,"2006",2006,"0",2006,31,31,31,"female",0
"Kati Winkler","GER","Iceskating","Iceskating-Women",48,1974,"1998",2002,"0",2000,26,24,28,"female",4
"Katarina Witt","GDR GER","Iceskating","Iceskating-Women",56,1965,"1984",1994,"2",1989,23,19,29,"female",10
"Regina Woodward","HUN","Iceskating","Iceskating-Women",51,1970,"1992",1992,"0",1992,22,22,22,"female",0
"Mandy Wötzel","GER","Iceskating","Iceskating-Women",48,1973,"1992",1998,"1",1995,21,19,25,"female",6
"Kristi Yamaguchi","USA","Iceskating","Iceskating-Women",50,1971,"1992",1992,"1",1992,21,21,21,"female",0
"Yang Tae-Hwa","KOR","Iceskating","Iceskating-Women",40,1982,"2002",2002,"0",2002,20,20,20,"female",0
"Marina Yeltsova","RUS","Iceskating","Iceskating-Women",52,1970,"1998",1998,"0",1998,28,28,28,"female",0
"Dominique Yvon","FRA","Iceskating","Iceskating-Women",53,1968,"1992",1992,"0",1992,24,24,24,"female",0
"Anna Zadorozhniuk","UKR","Iceskating","Iceskating-Women",37,1984,"2010",2010,"0",2010,26,26,26,"female",0
"Dorota Zagórska-Siudek","POL","Iceskating","Iceskating-Women",46,1975,"1998",2006,"0",2002,27,23,31,"female",8
"Alexandra Zaretski","ISR","Iceskating","Iceskating-Women",NA,NA,"2006",2010,"0",NA,NA,NA,NA,"female",4
"Irena Zemanová","CZE","Iceskating","Iceskating-Women",45,1977,"1994",1994,"0",1994,17,17,17,"female",0
"Zhang Dan","CHN","Iceskating","Iceskating-Women",NA,NA,"2002",2010,"1",NA,NA,NA,NA,"female",8
"Stephanie Zhang","AUS","Iceskating","Iceskating-Women",37,1985,"2002",2002,"0",2002,17,17,17,"female",0
"Zhang Weina","CHN","Iceskating","Iceskating-Women",NA,NA,"2002",2002,"0",NA,NA,NA,NA,"female",0
"Zhao Guona","CHN","Iceskating","Iceskating-Women",44,1978,"1994",1994,"0",1994,16,16,16,"female",0
"Miriam Ziegler","AUT","Iceskating","Iceskating-Women",28,1994,"2010",2022,"0",2016,22,16,28,"female",12
"Alisa","TUR","Iceskating","Iceskating-Women",31,1991,"2014",2018,"0",2016,25,23,27,"female",4
"Ekaterina Alexandrovskaya","AUS","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Kristina Astakhova","ROC","Iceskating","Iceskating-Women",25,1997,"2018",2018,"0",2018,21,21,21,"female",0
"Larkyn Austman","CAN","Iceskating","Iceskating-Women",24,1998,"2018",2018,"0",2018,20,20,20,"female",0
"Stefania Berton","ITA","Iceskating","Iceskating-Women",31,1990,"2014",2014,"0",2014,24,24,24,"female",0
"Aimee Buchanan","ISR","Iceskating","Iceskating-Women",28,1993,"2018",2018,"0",2018,25,25,25,"female",0
"Pernelle Carron","FRA","Iceskating","Iceskating-Women",35,1986,"2014",2014,"0",2014,28,28,28,"female",0
"Marissa Castelli","USA","Iceskating","Iceskating-Women",31,1990,"2014",2014,"1",2014,24,24,24,"female",0
"Karen Chen","USA","Iceskating","Iceskating-Women",22,1999,"2018",2022,"1",NA,NA,19,23,"female",4
"Madison Chock","USA","Iceskating","Iceskating-Women",29,1992,"2014",2022,"1",NA,NA,22,30,"female",8
"Choi Da-Bin","KOR","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Paige Conners","ISR","Iceskating","Iceskating-Women",22,2000,"2018",2018,"0",2018,18,18,18,"female",0
"Kailani Craine","AUS","Iceskating","Iceskating-Women",23,1998,"2018",2022,"0",2020,22,20,24,"female",4
"Gabrielle Daleman","CAN","Iceskating","Iceskating-Women",24,1998,"2014",2018,"1",2016,18,16,20,"female",4
"Andrea Davidovich","ISR","Iceskating","Iceskating-Women",NA,NA,"2014",2014,"0",NA,NA,NA,NA,"female",0
"Meagan Duhamel","CAN","Iceskating","Iceskating-Women",36,1985,"2014",2018,"3",NA,NA,29,33,"female",4
"Anna Dušková","CZE","Iceskating","Iceskating-Women",NA,NA,"2016",2018,NA,NA,NA,NA,NA,"female",2
"Polina Edmunds","USA","Iceskating","Iceskating-Women",24,1998,"2014",2014,"0",2014,16,16,16,"female",0
"Kerstin Frank","AUT","Iceskating","Iceskating-Women",33,1988,"2014",2014,"0",2014,26,26,26,"female",0
"Piper Gilles","CAN","Iceskating","Iceskating-Women",NA,NA,"2018",2022,"0",NA,NA,NA,NA,"female",4
"Anne Line Gjersem","NOR","Iceskating","Iceskating-Women",28,1994,"2014",2014,"0",2014,20,20,20,"female",0
"Gracie Gold","USA","Iceskating","Iceskating-Women",26,1995,"2014",2014,"1",2014,19,19,19,"female",0
"Charlène Guignard","ITA","Iceskating","Iceskating-Women",32,1989,"2014",2022,"0",NA,NA,25,33,"female",8
"Brooklee Han","AUS","Iceskating","Iceskating-Women",26,1995,"2014",2014,"0",2014,19,19,19,"female",0
"Siobhan Heekin-Canedy","UKR","Iceskating","Iceskating-Women",30,1991,"2014",2014,"0",2014,23,23,23,"female",0
"Viktoria Helgesson","SWE","Iceskating","Iceskating-Women",33,1988,"2014",2014,"0",2014,26,26,26,"female",0
"Loena Hendrickx","BEL","Iceskating","Iceskating-Women",22,1999,"2018",2022,"0",2020,21,19,23,"female",4
"Annika Hocke","GER","Iceskating","Iceskating-Women",NA,NA,"2016",2018,NA,NA,NA,NA,NA,"female",2
"Madison Hubbell","USA","Iceskating","Iceskating-Women",31,1991,"2018",2022,"2",NA,NA,27,31,"female",4
"Sara Hurtado","ESP","Iceskating","Iceskating-Women",29,1992,"2014",2018,"0",2016,24,22,26,"female",4
"Yelena Ilyinykh","RUS","Iceskating","Iceskating-Women",28,1994,"2014",2014,"2",2014,20,20,20,"female",0
"Ivett Tóth","HUN","Iceskating","Iceskating-Women",23,1998,"2018",2018,"0",2018,20,20,20,"female",0
"Natalia Kaliszek","POL","Iceskating","Iceskating-Women",26,1996,"2018",2022,"0",2020,24,22,26,"female",4
"Anya Khnychenkova","UKR","Iceskating","Iceskating-Women",27,1994,"2018",2018,"0",2018,24,24,24,"female",0
"Kim Gyu-Eun","KOR","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Kim Ha-Neul","KOR","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Kim Hae-Jin","KOR","Iceskating","Iceskating-Women",NA,NA,"2014",2014,"0",NA,NA,NA,NA,"female",0
"Tanja Kolbe","GER","Iceskating","Iceskating-Women",31,1990,"2014",2014,"0",2014,24,24,24,"female",0
"Marie-Jade Lauriault","FRA","Iceskating","Iceskating-Women",25,1996,"2018",2018,"0",2018,22,22,22,"female",0
"Yuliya Lavrentieva","UKR","Iceskating","Iceskating-Women",24,1997,"2014",2014,"0",2014,17,17,17,"female",0
"Paige Lawrence","CAN","Iceskating","Iceskating-Women",32,1990,"2014",2014,"0",2014,24,24,24,"female",0
"Li Xiangning","CHN","Iceskating","Iceskating-Women",NA,NA,"2016",2018,NA,NA,NA,NA,NA,"female",2
"Li Zijun","CHN","Iceskating","Iceskating-Women",NA,NA,"2012",2014,NA,NA,NA,NA,NA,"female",2
"Yuliya Lipnitskaya","RUS","Iceskating","Iceskating-Women",24,1998,"2014",2014,"1",2014,16,16,16,"female",0
"Kavita Lorenz","GER","Iceskating","Iceskating-Women",26,1995,"2018",2018,"0",2018,23,23,23,"female",0
"Ayza Mambekova","KAZ","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Cortney Mansourová","CZE","Iceskating","Iceskating-Women",27,1994,"2018",2018,"0",2018,24,24,24,"female",0
"Valentina Marchei","ITA","Iceskating","Iceskating-Women",36,1986,"2014",2018,"0",NA,NA,28,32,"female",4
"Yevgeniya Medvedeva","ROC","Iceskating","Iceskating-Women",22,1999,"2018",2018,"2",2018,19,19,19,"female",0
"Maé-Bérénice Meité","FRA","Iceskating","Iceskating-Women",27,1994,"2014",2018,"0",NA,NA,20,24,"female",4
"Min Yu-Ra","KOR","Iceskating","Iceskating-Women",NA,NA,"2018",2018,"0",NA,NA,NA,NA,"female",0
"Satoko Miyahara","JPN","Iceskating","Iceskating-Women",24,1998,"2018",2018,"0",2018,20,20,20,"female",0
"Kirsten Moore-Towers","CAN","Iceskating","Iceskating-Women",29,1992,"2014",2022,"1",NA,NA,22,30,"female",8
"Kanako Murakami","JPN","Iceskating","Iceskating-Women",27,1994,"2014",2014,"0",2014,20,20,20,"female",0
"Kana Muramoto","JPN","Iceskating","Iceskating-Women",29,1993,"2018",2018,"0",2018,25,25,25,"female",0
"Lucie Myslivečková","SVK","Iceskating","Iceskating-Women",32,1989,"2018",2018,"0",2018,29,29,29,"female",0
"Oleksandra Nazarova","UKR","Iceskating","Iceskating-Women",NA,NA,"2012",2022,NA,NA,NA,NA,NA,"female",10
"Diāna Ņikitina","LAT","Iceskating","Iceskating-Women",NA,NA,"2016",2018,NA,NA,NA,NA,NA,"female",2
"Danielle O'Brien","AUS","Iceskating","Iceskating-Women",32,1990,"2014",2014,"0",2014,24,24,24,"female",0
"Kaetlyn Osmond","CAN","Iceskating","Iceskating-Women",26,1995,"2014",2018,"3",NA,NA,19,23,"female",4
"Anita Östlund","SWE","Iceskating","Iceskating-Women",21,2001,"2018",2018,"0",2018,17,17,17,"female",0
"Alexia Paganini","SUI","Iceskating","Iceskating-Women",20,2001,"2018",2022,"0",2020,19,17,21,"female",4
"Gabriella Papadakis","FRA","Iceskating","Iceskating-Women",27,1995,"2018",2022,"2",NA,NA,23,27,"female",4
"Park So-Yeon","KOR","Iceskating","Iceskating-Women",NA,NA,"2012",2014,NA,NA,NA,NA,NA,"female",2
"Alexandra Paul","CAN","Iceskating","Iceskating-Women",30,1991,"2014",2014,"0",2014,23,23,23,"female",0
"Emmi Peltonen","FIN","Iceskating","Iceskating-Women",22,1999,"2018",2018,"0",2018,19,19,19,"female",0
